filename,Participant,Session,Block,Trial,OnsetDelay,Bias,Prime,Probe,Response1,Response2,RT1,RT2
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,1,25,0.6758663264627017,right,stripes-4,heavy poles sphere,right,right,0.3240119707033955,0.2558064535187441
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,1,26,0.5603975409573176,right,stripes-8,stripes-4,right,right,0.3097402377288745,0.2878128151705823
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,1,27,0.5794413520398993,left,stripes-2,stripes-8,right,right,0.2858221555043201,0.27200384883690276
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,1,28,0.5776308087301812,left,stripes-2,heavy poles sphere,right,right,0.3288998316602374,0.27168601503262835
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,1,29,0.5060906183499247,left,heavy poles sphere,heavy poles sphere,right,right,0.2384568329139256,0.2799565357609026
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,1,30,0.5301904254874017,left,stripes-4,stripes-8,right,right,0.40409178368508947,0.31983099451781527
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,1,31,0.6476816811247924,right,stripes-2,stripes-2,right,right,0.571460825739905,0.3038170844688466
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,1,32,0.540386447643,left,heavy poles sphere,heavy poles sphere,right,right,0.49219798869035003,0.29584636000981845
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,1,33,0.5145769599841296,right,stripes-2,stripes-8,right,right,0.19841661543068767,0.3117601306416873
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,1,34,0.570105869038561,right,heavy poles sphere,stripes-8,right,right,0.27597366146710556,0.28786257388810554
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,1,35,0.5188443568112272,left,stripes-2,heavy poles sphere,right,right,0.20824396201305717,0.3199028336657648
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,1,36,0.6097106428420878,left,stripes-2,stripes-2,right,right,0.5138330787863197,0.2799537368332494
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,1,37,0.6678727633818078,right,stripes-4,stripes-8,right,right,0.5258323933599058,0.3119411279740234
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,1,38,0.6282889338297871,right,stripes-4,stripes-2,right,right,0.26649742483095906,0.2718439989585022
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,1,39,0.6372572716905737,right,stripes-4,stripes-4,right,right,0.3788174654341674,0.2796956134893662
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,1,40,0.665651408775862,right,heavy poles sphere,stripes-4,right,right,0.2543087161411677,0.24770573441264787
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,1,41,0.5565789033484314,left,heavy poles sphere,stripes-2,right,right,0.39654276435157954,0.31985960578049344
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,1,42,0.5847111648447706,left,stripes-8,heavy poles sphere,right,right,0.5046202523571992,0.26398274367693375
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,1,43,0.6048700950979117,left,stripes-2,stripes-4,right,right,0.37597002286065617,0.26398118871702536
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,1,44,0.6950033730692804,right,stripes-8,stripes-4,right,right,0.30608048410249467,0.25585807818788453
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,1,45,0.6598491367481673,left,stripes-8,stripes-2,right,right,0.27228560757112064,0.30380899867714106
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,1,46,0.5958638983419712,right,stripes-8,stripes-8,right,right,0.2964857595216017,0.3038472506909784
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,1,47,0.5574969302661905,left,stripes-4,heavy poles sphere,right,right,0.3629049387700434,0.2476889408453644
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,0,0.5830525509346534,right,stripes-2,stripes-8,right,right,0.38920832948497264,0.25581982617450194
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,1,0.59224721341425135,right,heavy poles sphere,stripes-4,right,right,0.2281057758359566,0.2719341866331888
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,2,0.5410057411229877,left,stripes-4,stripes-4,right,right,0.36986867119685485,0.27969405852945783
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,3,0.5326362727361874,right,stripes-4,stripes-2,right,right,0.28929997882141834,0.2958687514324083
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,4,0.6699070877592939,left,stripes-2,stripes-2,right,right,0.35742277213921625,0.24784039393989588
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,5,0.521455479339366,right,heavy poles sphere,stripes-2,right,right,0.337060883211052,0.25582977791736994
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,6,0.5523866622935554,right,stripes-4,heavy poles sphere,right,right,0.38800883341627923,0.23993280085323931
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,7,0.6322058893776066,left,stripes-8,stripes-4,right,right,0.2728124279860822,0.25582480204593594
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,8,0.6286968213950161,left,heavy poles sphere,stripes-8,right,right,0.31443155175384163,0.3038295241481137
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,9,0.535187623226314,left,stripes-2,heavy poles sphere,right,right,0.5246677283930694,0.2558443945408726
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,10,0.6758398460359567,left,stripes-8,heavy poles sphere,right,right,0.2426685973050553,0.2719015324751126
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,11,0.6457824185238067,left,stripes-2,stripes-4,right,right,0.2597181106489188,0.2716944118160427
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,12,0.6255486859831016,left,heavy poles sphere,heavy poles sphere,right,right,0.247269412663627,0.2718066799211556
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,13,0.5852417621349588,left,stripes-8,stripes-2,right,right,0.2894837750818624,0.2878109492189651
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,14,0.5481439503992269,left,stripes-8,stripes-8,right,right,0.2918759253952885,0.2636978750228991
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,15,0.5225047550694996,right,stripes-4,stripes-8,right,right,0.2561591184248755,0.27961879847043747
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,16,0.5504722726062615,right,stripes-2,stripes-4,right,right,0.24368336413726865,0.2958211696595754
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,17,0.6817090208684214,right,stripes-2,stripes-2,right,right,0.2818821981036308,0.2558123623666688
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,18,0.5403568809947003,left,stripes-8,stripes-4,right,right,0.08613918072887827,0.2878311636977742
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,19,0.6273193013751058,right,stripes-4,stripes-4,right,right,0.5004713083462775,0.27983182797697737
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,20,0.5483268394009057,right,stripes-4,heavy poles sphere,right,right,0.2159764666148476,0.27182969332761786
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,21,0.5766678340783313,left,stripes-8,stripes-2,right,right,0.2690478700624226,0.22379884789916105
